,h3,count,geometry
1810,88195da76bfffff,3,"POLYGON ((-0.230480538093064 51.65579428809747, -0.2372099705587657 51.65459971832441, -0.2384296152389287 51.6501284721474, -0.2329206164462619 51.64685206130275, -0.2261922557055105 51.64804666981848, -0.2249718221446856 51.65251765042073, -0.230480538093064 51.65579428809747))"
1811,88195dac01fffff,5,"POLYGON ((-0.4187521414327188 51.57531780130258, -0.4254788800680581 51.57410833663068, -0.4266839785725942 51.56962791544098, -0.421163130611102 51.56635722352028, -0.4144374595116903 51.56756672456015, -0.4132315689492231 51.57204688113702, -0.4187521414327188 51.57531780130258))"
1812,88195dac03fffff,3,"POLYGON ((-0.4144374595116903 51.56756672456015, -0.421163130611102 51.56635722352028, -0.4223683600172851 51.56187657718413, -0.4168487101549467 51.55860569656159, -0.4101241063292417 51.55981523406781, -0.4089180852035036 51.56429561571453, -0.4144374595116903 51.56756672456015))"
1813,88195dac05fffff,2,"POLYGON ((-0.431000926542348 51.57737883960662, -0.437728346701741 51.57616869304881, -0.4389326527407167 51.57168800735093, -0.4334103311972429 51.56841773270328, -0.4266839785725942 51.56962791544098, -0.4254788800680581 51.57410833663068, -0.431000926542348 51.57737883960662))"
1814,88195dac09fffff,10,"POLYGON ((-0.4108192571533997 51.58100647923708, -0.4175463815848502 51.57979773266518, -0.4187521414327188 51.57531780130258, -0.4132315689492231 51.57204688113702, -0.4065055123169387 51.57325566416655, -0.4052989604803702 51.5777353308883, -0.4108192571533997 51.58100647923708))"
1815,88195dac0bfffff,3,"POLYGON ((-0.4065055123169387 51.57325566416655, -0.4132315689492231 51.57204688113702, -0.4144374595116903 51.56756672456015, -0.4089180852035036 51.56429561571453, -0.4021930961079641 51.56550443530007, -0.4009864138952431 51.56998432715953, -0.4065055123169387 51.57325566416655))"
1816,88195dac0dfffff,1,"POLYGON ((-0.4230681526574198 51.58306846390784, -0.4297959590909709 51.58185903550547, -0.431000926542348 51.57737883960662, -0.4254788800680581 51.57410833663068, -0.4187521414327188 51.57531780130258, -0.4175463815848502 51.57979773266518, -0.4230681526574198 51.58306846390784))"
1817,88195dac11fffff,8,"POLYGON ((-0.3978820079616539 51.55775279302482, -0.4046059297827774 51.55654393678494, -0.4058120813205129 51.55206333021282, -0.4002951021223595 51.5487918447355, -0.3935722473133324 51.55000073772805, -0.3923653048016817 51.55448107942962, -0.3978820079616539 51.55775279302482))"
1818,88195dac13fffff,9,"POLYGON ((-0.3935722473133324 51.55000073772805, -0.4002951021223595 51.5487918447355, -0.4015013839209999 51.54431101338255, -0.3959856016578824 51.54103933995355, -0.3892638135987406 51.54224826979696, -0.3880567411640901 51.54672883620287, -0.3935722473133324 51.55000073772805))"
1819,88195dac15fffff,2,"POLYGON ((-0.4101241063292417 51.55981523406781, -0.4168487101549467 51.55860569656159, -0.4180540703113695 51.55412482522348, -0.4125356181347098 51.55085375614193, -0.4058120813205129 51.55206333021282, -0.4046059297827774 51.55654393678494, -0.4101241063292417 51.55981523406781))"
